artist,total_plays,jon,ico,matt,austin
Warren Zevon,8042549,11,0,0,5
AJR,14044830,10,0,0,0
Alex Lahey,1119863,10,136,1,0
Aly & AJ,11168617,10,157,0,0
Aphex Twin,94361763,10,405,3,2
Badfinger,4070872,10,0,0,1
Chuck Berry,20067527,10,0,0,3
Country Joe & The Fish,1402426,10,0,2,0
Deerhoof,15182099,10,37,0,1
Eddie Money,3671698,10,0,0,4
Foxygen,9196156,10,18,3,0
Jethro Tull,32368013,10,48,138,0
Joe Walsh,3826952,10,0,7,12
Kacey Musgraves,26735897,10,72,0,0
Kings of Leon,182624035,10,0,0,0
Leonard Cohen,55443283,10,35,0,0
Manfred Mann's Earth Band,3232107,10,0,0,0
Michael Bublé,58703226,10,0,12,19
Mountain,2834252,10,0,0,0
My Bloody Valentine,58081044,10,3146,91,0
Nathaniel Rateliff & the Night Sweats,2926355,10,0,0,0
Pond,7970415,10,0,27,0
Simple Minds,16655691,10,0,0,0
Smash Mouth,15049840,10,0,0,0
The Buggles,3796084,10,0,0,0
The Tallest Man on Earth,35521007,10,95,18,0
Alex Crispin,15859,9,0,0,0
Andrew Bird,52161430,9,0,0,0
Ariel Pink,12404592,9,0,5,0
Björk,135958206,9,78,1,0
Blue Swede,2865694,9,0,0,0
David Peacock,107679,9,0,69,0
Depeche Mode,186733589,9,0,0,0
Elliott Smith,120635441,9,0,0,0
Elvis Costello & The Attractions,9512041,9,0,0,1
Fats Domino,4450851,9,0,0,3
Felt,5251762,9,21,0,0
Henry Mancini,5697704,9,0,2,1
Julien Baker,13703119,9,148,0,1
Mike Posner,15736155,9,97,0,0
Minor Threat,14625333,9,153,117,0
Moaning Lisa,80305,9,0,0,0
Mole Corrison,16,9,0,7,0
Mötley Crüe,35300713,9,0,2,7
Pentatonix,12905294,9,0,0,0
Sam Roberts,2828493,9,0,0,0
The Byrds,16998117,9,0,0,0
The Romantics,2186316,9,0,0,0
U2,157642343,9,128,0,0
Bon Iver,144608048,8,0,2,0
Bryan Adams,32140079,8,0,0,2
Dave Edmunds,1011305,8,0,0,0
Dire Straits,65635980,8,57,0,3
Huey Lewis & The News,8052230,8,0,0,2
Louis Hardin,145768,8,0,0,0
Osees,701299,8,0,7,0
Strap,8290,8,0,0,0
The War on Drugs,24826019,8,955,247,0
"Tyler, the Creator",178423268,8,170,747,4
VeggieTales,543877,8,0,0,0
Wham!,13354897,8,0,0,0
Wild Cherry,1890544,8,0,0,0
Bad Company,8813452,7,0,0,1
Blondie,37565367,7,67,0,1
Chaz Bundick Meets The Mattson 2,573506,7,0,1,0
Dumbo Gets Mad,1299268,7,0,1,0
Elvin Bishop,1372250,7,0,0,0
Eric Clapton,57490717,7,0,0,2
Fitz and the Tantrums,11201984,7,0,0,0
Foals,81177040,7,0,1,0
Frédéric Chopin,50500349,7,44,1,22
Future Islands,21066215,7,427,2,0
Gary Numan,11907717,7,0,0,0
GhosteMane,13669016,7,0,0,0
Gordon Lightfoot,4527220,7,0,1,44
Half Moon Run,5584244,7,0,0,0
Iron & Wine,77104149,7,0,3,0
King Tuff,2639636,7,0,2,0
Loudon Wainwright III,2774837,7,0,0,0
Matthew Wilder,1894805,7,0,0,0
Michael Cera,1540124,7,0,2,0
Naked Eyes,1757225,7,0,0,0
Nancy Sinatra,12631968,7,0,0,0
REO Speedwagon,7955114,7,0,0,0
Starship,5272050,7,0,0,0
The Moody Blues,12400884,7,0,0,0
The Ocean,9508112,7,0,0,0
The Protomen,3811373,7,0,0,0
The Rolling Stones,179941825,7,0,0,17
The Stooges,19140672,7,0,0,0
The Weeknd,216237941,7,203,7,8
Violent Femmes,16533704,7,0,0,0
Weezer,134454227,7,250,2,8
White Reaper,1511622,7,0,0,0
Alice Cooper,35234668,6,0,0,0
Bass Drum of Death,3111098,6,0,1,0
Bastille,54503370,6,0,0,0
Calvin Harris,94594211,6,374,1,1
Camille Saint-Saëns,6602609,6,0,3,10
Captain Beefheart & His Magic Band,13234967,6,0,0,0
Carole King,9662323,6,0,0,0
Compulsive Gamblers,424391,6,0,0,0
Cursive,17145197,6,48,721,0
